user_index,tsne_1,tsne_2,cluster
171291,-10.954318,-74.17746,1
172277,14.474533,-95.147194,1
291146,25.970932,113.90682,0
57171,112.32646,-4.079432,3
218338,-23.351126,-92.35923,2
60817,111.555756,-5.8367643,3
157250,27.383581,96.10892,4
76235,7.4833755,-4.0494323,1
295133,-73.02253,-83.62335,2
263714,33.757862,98.131714,4
109477,10.40673,74.21094,1
20266,97.082596,55.296276,3
200697,-24.653599,26.140257,2
102599,-2.279638,-11.867556,1
18025,99.83581,50.747276,3
46278,107.31245,-6.3880606,3
13975,92.52793,46.56138,3
56350,56.214493,-50.96181,1
233043,-43.24815,59.347305,2
213736,-34.37157,-52.09525,2
100746,62.368378,-47.354343,1
145720,-9.300142,66.986404,2
31398,50.790123,40.50737,3
77200,68.56587,-23.128239,1
82913,65.94095,-11.908677,1
143572,3.781888,34.288193,1
263646,-22.357695,59.85483,2
144976,-10.121606,-34.64943,1
158768,-8.130775,66.073105,2
87079,94.893135,-35.805225,1
279112,-96.45854,71.08685,2
312387,1.4862878,-137.53679,2
204614,-18.907967,10.650262,1
122713,42.56998,-13.84431,1
310668,-43.107994,124.72327,2
74158,96.106224,-21.194763,3
258842,-52.083973,77.454285,2
175074,-23.26059,-19.766907,2
183352,-19.991348,-50.846016,1
90040,11.427682,-38.072872,1
22565,96.91595,43.13138,3
251275,-72.213776,71.2959,2
41363,76.49542,2.096771,3
213356,-58.40806,22.996206,2
159684,-16.770763,30.826845,2
124321,27.898413,-26.979534,1
125246,58.76769,-62.207737,1
251340,-52.62746,42.825348,2
91464,36.40762,-46.697994,1
200305,-38.66176,-4.5197196,2
304580,-135.61047,-31.077633,2
144708,8.9641075,55.357956,1
265415,-95.922165,35.633537,2
180632,-46.891815,24.689705,2
179187,-26.382057,-13.225975,2
10238,67.597336,43.467934,3
205040,-12.169742,65.83844,2
206365,-62.789845,11.032655,2
32361,30.196402,5.1359854,1
76999,36.62697,-22.566359,1
183243,-14.766688,23.551254,2
196588,-7.9555125,52.370483,2
42501,79.43871,18.954475,3
106965,65.435,-72.12381,1
306777,-122.65833,21.53219,2
86893,24.726686,74.2489,1
216287,-20.478,-83.92626,2
169235,26.027243,-102.50871,1
213405,-53.73938,0.47369102,2
43873,77.3453,0.8697432,3
163455,30.169613,-96.10111,1
23360,89.09055,26.883816,3
12769,60.422165,65.04279,3
301441,-131.09239,-19.323473,2
260607,-28.185581,84.56475,2
179480,-26.757286,-55.277508,2
255712,-103.107216,-50.148727,2
46346,96.037056,-12.654842,3
250870,1.1553892,72.434784,2
183288,6.3500347,-106.08071,1
109952,23.545706,-34.88136,1
289733,-75.89813,96.27283,2
148452,5.3385406,8.698118,1
281655,-110.21713,-34.448845,2
297314,-132.76811,-19.839718,2
286813,-71.25906,-113.92789,2
254348,-39.15849,83.08134,2
76540,18.936934,58.93861,1
273213,-100.84923,-23.616451,2
250895,-87.987976,-39.80288,2
102916,75.13479,-54.943943,1
244077,-92.50275,21.890945,2
183858,-6.262068,-78.59421,1
31786,93.14275,4.0468516,3
62665,22.691917,32.452194,1
274996,1.3271064,-137.6735,2
22010,70.32918,32.737427,3
46499,80.583984,22.755577,3
196799,-31.396357,-33.04918,2
134509,7.5083632,-16.22081,1
187463,-25.395853,-65.95002,1
91114,30.411512,-64.459175,1
2810,71.75862,77.19647,5
97651,78.38342,-39.19415,1
97310,19.9058,27.346909,1
114209,41.822506,-51.5832,1
135468,14.570391,81.13412,4
185668,-31.652075,-53.716766,2
303900,-62.131264,94.96106,2
153229,24.516447,79.99861,4
162565,-6.9212227,27.802568,2
106229,-7.580649,-11.753161,2
117186,38.357883,-91.521965,1
303846,-1.0896657,102.94169,2
192214,-11.495616,16.743761,1
97876,43.973873,-33.865616,1
148325,8.503709,-70.3082,1
94600,34.376663,-21.89842,1
9044,55.745823,70.52424,3
117475,-5.172213,-2.4976623,2
